Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10001,2024-01-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card
10002,2024-01-02,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal
10003,2024-01-03,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card
10004,2024-01-04,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card
10005,2024-01-05,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal
10006,2024-01-06,Beauty Products,L'Oreal Shampoo,1,12.99,12.99,Europe,Credit Card
10007,2024-01-07,Beauty Products,The Ordinary Serum,4,19.99,79.96,Australia,Credit Card
10008,2024-01-08,Toys,LEGO Star Wars Set,4,79.99,319.96,North America,Credit Card
10009,2024-01-09,Beauty Products,The Ordinary Serum,4,19.99,79.96,South America,Debit Card
10010,2024-01-10,Beauty Products,CeraVe Moisturizer,2,17.99,35.98,Australia,Bank Transfer
10011,2024-01-11,Home Appliances,Philips Air Fryer,5,129.99,649.95,Australia,Credit Card
10012,2024-01-12,Toys,Barbie Dreamhouse,4,199.99,799.96,Europe,PayPal
10013,2024-01-13,Home Appliances,Roomba i3,4,349.99,1399.96,North America,Apple Pay
10014,2024-01-14,Sports,Fitbit Charge 5,1,149.99,149.99,South America,Bank Transfer
10015,2024-01-15,Beauty Products,Neutrogena Skincare Set,5,89.99,449.95,South America,Apple Pay
10016,2024-01-16,Books,The Silent Patient,4,14.99,59.96,Africa,PayPal
10017,2024-01-17,Electronics,Sony WH-1000XM5,1,349.99,349.99,North America,Bank Transfer
10018,2024-01-18,Books,Sapiens,1,22.99,22.99,Australia,Debit Card
10019,2024-01-19,Home Appliances,KitchenAid Mixer,3,329.99,989.97,South America,Bank Transfer
10020,2024-01-20,Clothing,Puma Track Pants,2,44.99,89.98,South America,Bank Transfer
10021,2024-01-21,Clothing,Adidas Hoodie,1,59.99,59.99,North America,PayPal
10022,2024-01-22,Clothing,Puma Track Pants,4,44.99,179.96,North America,Bank Transfer
10023,2024-01-23,Electronics,Apple Watch Series 9,5,399.99,1999.95,South America,Credit Card
10024,2024-01-24,Home Appliances,KitchenAid Mixer,3,329.99,989.97,North America,Credit Card
10025,2024-01-25,Home Appliances,Instant Pot Duo,4,89.99,359.96,Asia,Bank Transfer
10026,2024-01-26,Toys,LEGO Star Wars Set,2,79.99,159.98,Africa,Bank Transfer
10027,2024-01-27,Sports,Yoga Mat Pro,4,39.99,159.96,Australia,PayPal
10028,2024-01-28,Electronics,AirPods Pro 2,5,249.99,1249.95,Australia,Debit Card
10029,2024-01-29,Sports,Yoga Mat Pro,5,39.99,199.95,Africa,Apple Pay
10030,2024-01-30,Clothing,Adidas Hoodie,2,59.99,119.98,Asia,Apple Pay
10031,2024-01-31,Clothing,Levi's 501 Jeans,1,69.99,69.99,Asia,PayPal
10032,2024-02-01,Electronics,Sony WH-1000XM5,3,349.99,1049.97,Africa,Bank Transfer
10033,2024-02-02,Toys,Rubik's Cube,2,9.99,19.98,Asia,Apple Pay
10034,2024-02-03,Toys,Nerf Blaster,5,24.99,124.95,Australia,Debit Card
10035,2024-02-04,Sports,Adjustable Dumbbells,3,199.99,599.97,Australia,Apple Pay
10036,2024-02-05,Beauty Products,The Ordinary Serum,4,19.99,79.96,North America,PayPal
10037,2024-02-06,Home Appliances,Dyson V11 Vacuum,4,499.99,1999.96,North America,Apple Pay
10038,2024-02-07,Beauty Products,Neutrogena Skincare Set,3,89.99,269.97,Australia,Bank Transfer
10039,2024-02-08,Sports,Fitbit Charge 5,3,149.99,449.97,Asia,Debit Card
10040,2024-02-09,Home Appliances,KitchenAid Mixer,3,329.99,989.97,Australia,Credit Card
10041,2024-02-10,Sports,Adjustable Dumbbells,4,199.99,799.96,South America,Apple Pay
10042,2024-02-11,Electronics,Dell XPS 13,1,999.99,999.99,Asia,Bank Transfer
